periodo,turma,codigo,titulo,data_inicio,data_termino,linguagem,tipo,peso,n_blocos,blocos
2019-2,264,1977,TP 01: Variáveis e Estrutura Sequencial (2019),2019-09-02 08:00,2019-09-02 09:50,Python 3,exam,1.0,3,"[[1027, 1028, 1029, 1030, 1031, 1032, 3309], [1364, 1365, 1366, 2301, 2671, 2672, 2673, 2938], [1349, 1350, 1351, 1354, 1355, 1356, 1379, 1380, 2683, 2684]]"
2019-2,264,2028,Lab 3 – Estrutura Condicional Encadeada (2019),2019-09-18 08:00,2019-09-30 08:00,Python 3,homework,1.0,12,"[[1079, 1099], 1100, 1103, 1104, 1101, 1872, 1880, 3056, 1879, 3033, 2759]"
2019-2,264,1994,Desafios 2 - Estruturas Condicionais (2019),2019-09-09 10:00,2019-12-09 08:00,Python 3,homework,1.0,8,"[2449, 652, 1092, 2971, 1879, 1418, 1397, 1395]"
2019-2,264,1906,Lab 0 – Primeiros passos com o Python - 2019,2019-08-12 08:00,2019-09-02 08:00,Python 3,homework,1.0,16,"[994, 996, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 3238, 1559, 1560, 2896, 2897]"
2019-2,264,1985,Lab 2 – Estrutura Condicional Simples (2019),2019-09-04 08:00,2019-09-16 07:59,Python 3,homework,1.0,12,"[2442, 3335, 1054, 2447, 869, 1053, 2445, 2969, 2975, 3334, 2443, 1055]"
2019-2,264,1958,Desafios 1 - Variáveis e Estrutura Sequencial,2019-08-26 08:00,2019-12-09 10:00,Python 3,homework,1.0,12,"[1800, 2049, 1446, 2043, 2425, 2426, 1801, 1802, 1803, 1805, 1804, 1806]"
2019-2,264,1941,Lab 1 – Estrutura Sequencial e Variáveis - 2019,2019-08-19 10:00,2019-09-02 08:00,Python 3,homework,1.0,12,"[2894, 2895, 1446, 2049, 1014, 1015, 1571, 1570, 842, 825, 1016, 1017]"
2019-2,264,2019,TP 02:  Est. Condicional Simples e Composta (2019),2019-09-16 08:00,2019-09-16 09:50,Python 3,exam,1.0,3,"[[1390, 1391, 1392, 1393, 1394, 1395, 1396, 1397, 1398], [3368, 3369, 3370, 3371, 3383, 3384, 3385, 3386, 3387, 3388], [1080, 1081, 1082, 1083, 1084, 1085, 1086, 1087, 1088, 1089, 1090]]"
2019-2,260,2002,Desafios 2 - Estruturas Condicionais (2019),2019-09-09 20:00,2019-12-09 20:00,Python 3,homework,1.0,8,"[2449, 652, 1092, 2971, 1879, 1418, 1397, 1395]"
2019-2,260,1935,Desafios 1 - Variáveis e Estrutura Sequencial,2019-08-19 22:00,2019-12-09 20:00,Python 3,homework,1.0,12,"[1800, 2049, 1446, 2043, 2425, 2426, 1801, 1802, 1803, 1805, 1804, 1806]"
2019-2,260,2018,TP 02:  Est. Condicional Simples e Composta (2019),2019-09-16 21:00,2019-09-16 21:55,Python 3,exam,1.0,2,"[[1390, 1391, 1392, 1393, 1394, 1396, 1398], [3368, 3369, 3370, 3371, 3383, 3384, 3385, 3386, 3387, 3388]]"
2019-2,260,1984,Lab 2 – Estrutura Condicional Simples (2019),2019-09-04 22:00,2019-09-16 20:00,Python 3,homework,1.0,12,"[2442, 3335, 1054, 2447, 869, 1053, 2445, 2969, 2975, 3334, 2443, 1055]"
2019-2,260,1971,TP 01: Variáveis e Estrutura Sequencial (2019),2019-09-02 21:00,2019-09-02 21:55,Python 3,exam,1.0,2,"[[1027, 1028, 1029, 1030, 1031, 1032, 3309], [1364, 1365, 1366, 2301, 2671, 2672, 2673, 2938]]"
2019-2,260,1911,Lab 0 – Primeiros passos com o Python - 2019,2019-08-13 00:00,2019-09-12 23:59,Python 3,homework,0.0,16,"[994, 996, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 3238, 1559, 1560, 2896, 2897]"
2019-2,260,1934,Lab 1 – Estrutura Sequencial e Variáveis - 2019,2019-08-19 22:00,2019-09-02 20:00,Python 3,homework,1.0,11,"[2894, 2895, 1446, 2049, 1014, 1015, 1571, 1570, 825, 1016, 1017]"
2019-2,259,2004,Lab 2 – Estrutura Condicional Simples (2019),2019-09-11 11:00,2019-09-23 10:00,Python 3,homework,1.0,12,"[2442, 3335, 1054, 2447, 869, 1053, 2445, 2969, 2975, 3334, 2443, 1055]"
2019-2,259,2008,Desafios 2 - Estruturas Condicionais (2019),2019-09-11 11:00,2019-09-23 10:00,Python 3,homework,1.0,8,"[2449, 652, 1092, 2971, 1879, 1418, 1397, 1395]"
2019-2,259,1919,Desafios 1 - Variáveis e Estrutura Sequencial,2019-08-19 12:00,2019-09-09 10:00,Python 3,homework,1.0,12,"[1800, 2049, 1446, 2043, 2425, 2426, 1801, 1802, 1803, 1805, 1804, 1806]"
2019-2,259,1903,Lab 0 – Primeiros passos com o Python - 2019,2019-07-01 00:00,2019-10-31 00:00,Python 3,homework,0.0,16,"[994, 996, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 579, 1559, 1560, 2896, 2897]"
2019-2,259,1918,Lab 1 – Estrutura Sequencial e Variáveis - 2019,2019-08-19 12:00,2019-09-09 10:00,Python 3,homework,1.0,12,"[2894, 2895, 1446, 2049, 1014, 1015, 1571, 1570, 842, 825, 1016, 1017]"
2019-2,259,1997,TP 01: Variáveis e Estrutura Sequencial (2019),2019-09-09 10:00,2019-09-09 10:55,Python 3,exam,1.0,2,"[[1027, 1028, 1029, 1030, 1031, 1032, 3309], [1364, 1365, 1366, 2301, 2671, 2672, 2673, 2938]]"
2019-2,263,1947,Lab 1 – Estrutura Sequencial e Variáveis - 2019,2019-08-20 14:00,2019-09-10 13:59,Python 3,homework,1.0,11,"[2894, 2895, 1446, 2049, 1014, 1015, 1571, 1570, 825, 1016, 1017]"
2019-2,263,2003,TP 01: Variáveis e Estrutura Sequencial (2019),2019-09-10 14:05,2019-09-16 15:55,Python 3,exam,1.0,3,"[[1027, 1028, 1029, 1030, 1031, 1032, 3309], [1364, 1365, 1366, 2301, 2671, 2672, 2673, 2938], [1349, 1350, 1351, 1354, 1355, 1356, 1379, 1380, 2683, 2684]]"
2019-2,263,2007,Desafios 2 - Estruturas Condicionais (2019),2019-09-12 15:35,2019-09-24 13:55,Python 3,homework,1.0,8,"[2449, 652, 1092, 2971, 1879, 1418, 1397, 1395]"
2019-2,263,1922,Lab 0 – Primeiros passos com o Python - 2019,2019-08-15 14:00,2019-09-30 00:00,Python 3,homework,1.0,16,"[994, 996, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 3238, 1559, 1560, 2896, 2897]"
2019-2,263,1949,Desafios 1 - Variáveis e Estrutura Sequencial,2019-08-20 14:00,2019-09-10 13:59,Python 3,homework,1.0,12,"[1800, 2049, 1446, 2043, 2425, 2426, 1801, 1802, 1803, 1805, 1804, 1806]"
2019-2,263,2006,Lab 2 – Estrutura Condicional Simples (2019),2019-09-12 15:35,2019-09-24 13:55,Python 3,homework,1.0,12,"[2442, 3335, 1054, 2447, 869, 1053, 2445, 2969, 2975, 3334, 2443, 1055]"
2019-2,261,1907,Lab 0 – Primeiros passos com o Python - 2019,2019-08-12 15:00,2019-09-12 23:59,Python 3,homework,1.0,16,"[994, 996, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 3238, 1559, 1560, 2896, 2897]"
2019-2,261,1972,TP 01: Variáveis e Estrutura Sequencial (2019),2019-09-02 15:00,2019-09-02 15:56,Python 3,exam,1.0,2,"[[1027, 1028, 1029, 1030, 1031, 1032, 3309], [1364, 1365, 1366, 2301, 2671, 2672, 2673, 2938]]"
2019-2,261,2030,Lab 3 – Estrutura Condicional Encadeada (2019),2019-09-18 15:30,2019-09-30 14:00,Python 3,homework,1.0,12,"[1079, 1099, 1100, 1103, 1104, 1101, 1872, 1880, 3056, 1879, 3033, 2759]"
2019-2,261,2015,TP 02:  Est. Condicional Simples e Composta (2019),2019-09-16 15:00,2019-09-16 15:55,Python 3,exam,1.0,2,"[[1390, 1391, 1392, 1393, 1394, 1395, 1396, 1397, 1398], [3368, 3369, 3370, 3371, 3383, 3384, 3385, 3386, 3387, 3388]]"
2019-2,261,1939,Desafios 1 - Variáveis e Estrutura Sequencial,2019-08-19 16:00,2019-12-09 14:00,Python 3,homework,1.0,12,"[1800, 2049, 1446, 2043, 2425, 2426, 1801, 1802, 1803, 1805, 1804, 1806]"
2019-2,261,1988,Lab 2 – Estrutura Condicional Simples (2019),2019-09-04 15:00,2019-09-16 14:00,Python 3,homework,1.0,12,"[2442, 3335, 1054, 2447, 869, 1053, 2445, 2969, 2975, 3334, 2443, 1055]"
2019-2,261,1945,Lab 1 – Estrutura Sequencial e Variáveis - 2019,2019-08-19 15:30,2019-09-02 14:00,Python 3,homework,1.0,12,"[2894, 2895, 1446, 2049, 1014, 1015, 1571, 1570, 842, 825, 1016, 1017]"
2019-2,261,1993,Desafios 2 - Estruturas Condicionais (2019),2019-09-08 00:00,2019-12-09 14:00,Python 3,homework,1.0,8,"[2449, 652, 1092, 2971, 1879, 1418, 1397, 1395]"
2019-2,258,1999,Desafios 2 - Estruturas Condicionais (2019),2019-09-11 11:30,2019-12-09 09:59,Python 3,homework,1.0,8,"[2449, 652, 1092, 2971, 1879, 1418, 1397, 1395]"
2019-2,258,1937,Desafios 1 - Variáveis e Estrutura Sequencial,2019-08-26 12:00,2019-12-09 09:59,Python 3,homework,1.0,12,"[1800, 2049, 1446, 2043, 2425, 2426, 1801, 1802, 1803, 1805, 1804, 1806]"
