,adj_arg_ovl,adj_stem_ovl,arg_ovl,stem_ovl,adjacent_refs,anaphoric_refs,words_before_main_verb,add_neg_conn_ratio,add_pos_conn_ratio,and_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,conn_ratio,if_ratio,log_neg_conn_ratio,log_pos_conn_ratio,logic_operators,negation_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,mean_noun_phrase,ttr,cw_freq,min_cw_freq,adjective_ratio,adverbs,content_words,function_words,personal_pronouns,pronoun_ratio,verbs,adjectives_ambiguity,adverbs_ambiguity,hypernyms_verbs,nouns_ambiguity,verbs_ambiguity,paragraphs,sentences,sentences_per_paragraph,syllables_per_content_word,words,words_per_sentence,flesch
1943,5.8,6.8,8.53333,9.66667,0.0,0.0,1.0,0.0,0.03053,0.0229,0.0,0.015269999999999999,0.0458,0.0,0.0,0.00763,0.03053,0.0,0.0,0.00763,7.638889999999999,0.62875,261434.09091,863.16667,0.0916,0.00763,0.67176,0.32824000000000003,0.008440000000000001,0.03053,0.1145,0.6,0.0,0.8,1.4,5.0,1.0,6.0,6.0,3.03409,131.0,21.83333,23.89249
3139,2.5,4.5,2.66667,4.66667,0.0,0.0,1.33333,0.0,0.035710000000000006,0.0,0.0,0.07143,0.07143,0.0,0.0,0.053570000000000007,0.0,0.0,0.0,0.0,4.88889,0.64286,381582.86111,555.0,0.17857,0.0,0.64286,0.35714,0.0,0.07143,0.16071,2.22222,0.0,0.66667,3.4666699999999997,10.625,1.0,3.0,3.0,2.69444,56.0,18.66667,45.58119
1655,1.5,2.0,1.2381,1.61905,0.0,0.0,1.0,0.0,0.01031,0.0,0.0,0.01031,0.01031,0.0,0.0,0.01031,0.0,0.0,0.0,0.0,5.78571,0.6494800000000001,231630.36206999997,7555.57143,0.05155,0.01031,0.5979399999999999,0.40206,0.0,0.07216,0.12370999999999999,1.2,1.0,0.75,3.28571,10.0,1.0,7.0,7.0,2.7241400000000002,97.0,13.85714,53.35969
1979,1.5,1.83333,0.90476,1.38095,0.0,0.0,3.4285699999999997,0.0,0.01695,0.00847,0.0,0.04237,0.05085,0.00847,0.0,0.025419999999999998,0.01695,0.0,0.0,0.0,4.86905,0.68105,286641.47887,6545.28571,0.05085,0.04237,0.60169,0.39831,0.01,0.0678,0.16949,2.25,3.75,1.05263,4.5641,6.857139999999999,1.0,7.0,7.0,3.05634,118.0,16.85714,35.28093
1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09091,0.0303,0.0,0.09091,0.12120999999999998,0.0,0.0,0.060610000000000004,0.0303,0.0,0.0,0.0,4.83333,0.8484799999999999,57883.42105,127.0,0.15152000000000002,0.0,0.57576,0.42423999999999995,0.0,0.0303,0.09091,2.6,0.0,1.66667,4.90909,16.5,1.0,1.0,1.0,2.89474,33.0,33.0,30.75818
1642,1.5,1.5,2.4,2.4,0.0,0.0,0.8,0.0,0.025639999999999996,0.012819999999999998,0.0,0.03846,0.05127999999999999,0.0,0.0,0.012819999999999998,0.012819999999999998,0.0,0.0,0.0,5.24667,0.60256,88015.5,1707.0,0.0641,0.0,0.53846,0.46153999999999995,0.0,0.07692,0.11538,3.0,0.0,2.33333,3.8571400000000002,9.14286,1.0,5.0,5.0,2.7619,78.0,15.6,59.462540000000004
2039,3.0,5.0,3.0,4.33333,0.0,0.0,0.66667,0.0,0.02273,0.0,0.0,0.011359999999999999,0.034089999999999995,0.0,0.0,0.02273,0.011359999999999999,0.0,0.011359999999999999,0.0,13.222220000000002,0.65909,378556.19298,130.66666999999998,0.07955,0.04545,0.64773,0.35226999999999997,0.0,0.034089999999999995,0.17045,1.0,0.0,0.71429,2.40909,7.909089999999999,1.0,3.0,3.0,3.10526,88.0,29.33333,10.44576
2618,5.0,10.0,5.0,10.0,0.0,0.0,2.0,0.0,0.03797,0.03797,0.0,0.05063,0.08861000000000001,0.0,0.0,0.02532,0.03797,0.0,0.0,0.0,19.0,0.60759,238623.4,0.0,0.03797,0.02532,0.56962,0.43038000000000004,0.0,0.06329,0.1519,2.5,5.0,0.8,2.77778,7.0,1.0,2.0,2.0,2.91111,79.0,39.5,22.40832
2921,1.6,5.0,1.86667,4.6,0.0,0.0,3.0,0.0,0.035710000000000006,0.01786,0.0,0.053570000000000007,0.07143,0.0,0.0,0.00893,0.01786,0.0,0.0,0.00893,4.20833,0.53,266603.25373,2683.83333,0.09821,0.00893,0.59821,0.40179000000000004,0.01,0.026789999999999998,0.16071,2.36364,1.0,0.33333,3.1351400000000003,9.11111,1.0,6.0,6.0,2.7164200000000003,112.0,18.66667,51.62405
1716,0.5,0.5,1.1,1.3,0.0,0.0,0.8,0.0,0.032260000000000004,0.01075,0.0,0.021509999999999998,0.032260000000000004,0.0,0.0,0.021509999999999998,0.01075,0.0,0.0,0.0,5.2333300000000005,0.49462,1068485.21212,426.0,0.01075,0.01075,0.70968,0.29031999999999997,0.0,0.06452000000000001,0.10753,4.0,4.0,1.1,1.71698,7.444439999999999,1.0,5.0,5.0,2.77273,93.0,18.6,28.91729
