codigo,complexity,n_classes,n_functions,loc,lloc,sloc,single_comments,comments,multilines,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,imports,assignments,assignments_unique,kwds,kwds_unique,lt_numbers,lt_strings,lt_booleans,lgc_op,lgc_op_unique,and_op,or_op,not_op,arithmetic_op,arithmetic_op_unique,add_op,minus_op,mult_op,div_op,mod_op,power_op,div_floor_op,cmp_op,cmp_op_unique,equal_op,not_eq_op,lt_op,gt_op,less_op,greater_op,bitwise_op,bitwise_op_unique,bitwise_and,bitwise_or,bitwise_xor,bitwise_not,lshift_op,rshift_op,identity_op,membership_op,conditionals,ifs,elifs,elses,loops,whiles,fors,breaks,continues,builtin_f,builtin_f_unique,type_f,type_f_unique,lambdas,lpar,rpar,lsqb,rsqb,lbrace,rbrace,commas,colons,dots,prints,inputs,len,uident,uident_unique,uident_mean,uident_per_line,uident_chars
2455,3,0,0,12,10,10,0,0,0,2,2,7,5,10,9,15,21.651484454403228,47.548875021634686,1.4285714285714286,67.92696431662098,0.01584962500721156,3.7737202398122767,0,5,1,4,2,6,2,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,6,5,2,2,0,8,8,0,0,0,0,1,4,0,1,2,0,11,3,1.375,0.8461538461538461,5.666666666666667
1053,2,0,0,8,6,6,0,0,0,2,2,3,2,4,5,6,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609,0,3,1,2,2,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,2,0,1,1,0,6,2,1.2,0.6666666666666666,7.5
1014,1,0,0,12,4,3,0,0,5,4,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297,0,2,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,4,4,0,0,0,0,1,0,0,1,1,0,4,2,1.3333333333333333,0.3076923076923077,5.5
3031,6,0,0,19,11,10,0,0,5,4,4,8,9,18,12,27,32.0,96.79398751947123,4.5,435.5729438376205,0.03226466250649041,24.198496879867808,0,5,1,6,4,10,2,0,2,1,2,0,0,2,1,0,0,0,0,0,2,0,5,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,4,4,1,1,0,7,7,0,0,0,0,1,4,0,1,1,0,13,2,1.4444444444444444,0.65,1.5
2461,6,0,0,23,11,10,2,2,8,3,4,12,11,22,16,33,51.01955000865388,132.0,3.6666666666666665,484.0,0.044,26.88888888888889,0,5,1,6,4,10,2,0,2,1,2,0,0,4,1,0,0,4,0,0,0,0,5,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,4,4,1,1,0,7,7,0,0,0,0,1,4,0,1,1,0,15,2,1.6666666666666667,0.625,7.5
1351,1,0,0,5,3,3,0,0,0,2,4,12,7,14,16,21,51.01955000865388,84.0,2.3333333333333335,196.0,0.028,10.88888888888889,0,2,1,0,0,5,1,0,0,0,0,0,0,7,4,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,10,10,0,0,0,0,0,0,0,1,2,0,4,2,1.3333333333333333,0.6666666666666666,3.0
2897,1,0,0,5,2,2,2,2,0,1,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,3,3,0,0,0,0,0,0,0,1,1,0,2,1,1,0.3333333333333333,3.0
1361,1,0,0,10,7,7,0,0,0,3,4,17,14,28,21,42,77.48686830125578,184.47733175670794,3.2941176470588234,607.6900340220967,0.06149244391890265,33.76055744567204,0,4,1,0,0,17,0,0,0,0,0,0,0,14,4,0,3,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,0,13,13,0,0,0,0,3,0,0,3,1,0,10,4,1.4285714285714286,0.9090909090909091,9.5
3664,1,0,0,7,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,0,7,7,0,0,0,0,2,0,0,1,2,0,9,6,1.8,1.125,3.8333333333333335
1363,1,0,0,11,8,8,0,0,0,3,4,14,9,18,18,27,61.30296890880645,112.58797503894243,2.5714285714285716,289.5119358144234,0.03752932501298081,16.083996434134633,1,4,1,2,2,11,0,0,0,0,0,0,0,10,4,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,0,12,12,0,0,0,0,3,0,0,3,1,0,12,6,1.5,1.0,7.166666666666667
1368,1,0,0,13,10,10,0,0,0,3,1,6,3,6,7,9,15.509775004326936,25.26619429851844,0.5,12.63309714925922,0.008422064766172813,0.701838730514401,0,9,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,2,0,9,9,0,0,0,0,2,0,0,1,3,0,18,9,1.8,1.2857142857142858,12.333333333333334
3089,4,0,0,13,12,12,0,0,0,1,4,3,4,8,7,12,12.75488750216347,33.68825906469125,5.333333333333333,179.67071501168667,0.011229419688230418,9.981706389538148,0,7,2,3,2,4,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,6,3,2,1,0,8,8,0,0,0,0,0,3,0,2,2,0,13,3,1.0833333333333333,0.9285714285714286,3.6666666666666665
3531,2,0,0,9,7,7,0,0,0,2,4,8,5,10,12,15,32.0,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409,0,5,1,1,1,5,2,0,0,0,0,0,0,4,3,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,2,2,0,7,7,0,0,0,0,1,1,0,1,2,0,11,3,1.5714285714285714,1.1,3.6666666666666665
2167,25,0,0,29,28,28,0,0,0,1,2,50,36,72,52,108,284.1928094887362,615.647489559238,1.44,886.5323849653028,0.20521582985307935,49.25179916473904,0,2,1,25,4,0,37,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,24,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,11,1,0,0,0,0,0,15,2,0,0,0,27,27,0,0,0,0,0,13,0,13,2,0,26,2,1.8571428571428572,0.8666666666666667,7.5
1147,10,0,0,34,24,23,0,0,7,4,1,11,9,18,12,27,38.053747805010275,96.79398751947123,0.8181818181818182,79.19508069774919,0.03226466250649041,4.399726705430511,0,10,1,11,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,7,2,0,0,0,0,0,3,2,0,0,0,4,4,0,0,0,0,2,11,0,2,1,0,21,2,1,0.6,3.5
