,n_submissoes
0,4
1,3
2,3
3,2
4,4
5,1
6,2
7,1
8,2
9,1
10,1
11,1
12,12
13,2
14,12
15,3
16,1
17,2
18,1
19,1
20,6
21,1
22,1
23,1
24,1
25,2
26,7
27,2
28,1
29,1
30,1
31,6
32,1
33,1
34,2
35,2
36,5
37,1
38,2
39,1
40,0
41,1
42,3
43,7
44,20
45,3
46,3
47,2
48,4
49,1
50,19
51,2
52,13
53,0
54,1
55,2
56,2
57,3
58,1
59,2
60,1
61,1
62,1
63,1
64,3
65,1
66,1
67,3
68,1
69,1
70,1
71,1
72,2
73,1
74,2
75,0
76,2
77,1
78,12
79,2
80,1
81,5
82,2
83,1
84,1
85,1
86,1
87,1
88,1
89,3
90,0
91,5
92,2
93,3
94,8
95,12
96,13
97,2
98,4
99,39
100,20
101,1
102,3
103,1
104,1
105,1
106,1
107,2
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,20
117,2
118,1
119,67
120,19
121,4
122,2
123,14
124,2
125,1
126,1
127,4
128,9
129,4
130,3
131,2
132,1
133,1
134,1
135,1
136,1
137,1
138,6
139,3
140,0
141,6
142,1
143,1
144,1
145,1
146,1
147,2
148,0
149,5
150,1
151,3
152,6
153,2
154,1
155,1
156,1
157,3
158,1
159,2
160,0
161,1
162,1
163,5
164,1
165,1
166,1
167,1
168,5
169,16
170,0
171,1
172,1
173,0
174,2
175,4
176,2
177,8
178,20
179,1
180,1
181,1
182,0
183,1
184,3
185,3
186,20
187,37
188,0
189,1
190,1
191,40
192,5
193,25
194,1
195,7
196,1
197,8
198,5
199,4
200,2
201,4
202,4
203,1
204,1
205,2
206,5
207,15
208,7
209,0
210,0
211,7
212,4
213,9
214,1
215,2
216,1
217,1
218,3
219,64
220,1
221,4
222,57
223,1
224,5
225,1
226,1
227,1
228,5
229,1
230,1
231,1
232,1
233,9
234,4
235,1
236,1
237,1
238,3
239,1
240,3
241,0
242,10
243,0
244,1
245,3
246,1
247,2
248,0
249,6
250,4
251,4
252,1
253,9
254,4
255,9
256,1
257,2
258,1
259,1
260,1
261,28
262,4
263,1
264,1
265,1
266,0
267,0
268,3
269,1
270,1
271,1
272,2
273,7
274,1
275,1
276,1
277,3
278,1
279,4
280,4
281,1
282,5
283,2
284,5
285,16
286,7
287,5
288,2
289,2
290,2
291,42
292,7
293,21
294,71
295,1
296,11
297,1
298,3
299,3
300,14
301,1
302,11
303,2
304,2
305,1
306,1
307,27
308,4
309,1
310,7
311,2
312,1
313,1
314,1
315,4
316,2
317,3
318,4
319,48
320,17
321,9
322,1
323,8
324,1
325,23
326,0
327,0
328,1
329,1
330,3
331,2
332,3
333,2
334,3
335,7
336,7
337,2
338,1
339,4
340,28
341,2
342,1
343,2
344,1
345,66
346,2
347,2
348,1
349,4
350,1
351,2
352,15
353,0
354,9
355,1
356,13
357,9
358,0
359,3
360,2
361,5
362,5
363,5
364,7
365,1
366,10
367,1
368,2
369,1
370,1
371,2
372,1
373,1
374,2
375,7
376,14
377,12
378,3
379,1
380,1
381,1
382,6
383,3
384,2
385,1
386,0
387,27
388,10
389,74
390,0
391,2
392,1
393,1
394,1
395,1
396,1
397,11
398,3
399,18
400,4
401,1
402,2
403,6
404,1
405,0
406,1
407,1
408,2
409,2
410,1
411,5
412,3
413,9
414,3
415,1
416,14
417,3
418,1
419,1
420,13
421,1
422,1
423,4
424,40
425,15
426,1
427,1
428,1
429,1
430,1
431,13
432,1
433,1
434,2
435,1
436,7
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,5
446,23
447,2
448,6
449,1
450,1
451,1
452,1
453,1
454,7
455,2
456,1
457,1
458,1
459,1
460,2
461,1
462,1
463,39
464,34
465,1
466,0
467,17
468,1
469,1
470,1
471,3
472,2
473,1
474,1
475,5
476,2
477,1
478,1
479,25
480,28
481,1
482,17
483,1
484,4
485,2
486,4
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,16
495,31
496,6
497,3
498,2
499,5
500,2
501,1
502,0
503,8
504,2
505,1
506,5
507,1
508,1
509,1
510,1
511,9
512,2
513,4
514,3
515,2
516,1
517,2
518,2
519,6
520,1
521,4
522,2
523,7
524,8
525,39
526,1
527,0
528,7
529,2
530,3
531,2
532,7
533,2
534,1
535,1
536,1
537,2
538,11
539,1
540,3
541,1
542,1
543,1
544,18
545,3
546,2
547,11
548,4
549,38
550,1
551,1
552,2
553,1
554,2
555,1
556,14
557,1
558,4
559,5
560,1
561,11
562,1
563,7
564,3
565,3
566,1
567,2
568,1
569,3
570,14
571,2
572,1
573,1
574,1
575,1
576,1
577,5
578,1
579,1
580,1
581,1
582,1
583,1
584,12
585,4
586,0
587,0
588,4
589,1
590,1
591,1
592,0
593,13
594,1
595,1
596,1
597,1
598,0
599,1
600,12
601,1
602,1
603,1
604,2
605,1
606,1
607,1
608,1
609,1
610,1
611,2
612,1
613,2
614,2
615,1
616,2
617,0
618,8
619,2
620,1
621,1
622,3
623,0
624,7
625,1
626,1
627,0
628,1
629,1
630,4
631,4
632,11
633,1
634,1
635,1
636,15
637,2
638,2
639,1
640,0
641,11
642,5
643,1
644,7
645,1
646,2
647,14
648,1
649,1
650,9
651,1
652,2
653,3
654,1
655,0
656,0
657,0
658,1
659,1
660,10
661,1
662,2
663,1
664,1
665,1
666,13
667,10
668,2
669,1
670,1
671,3
672,27
673,0
674,1
675,4
676,7
677,1
678,1
679,15
680,0
681,1
682,4
683,1
684,1
685,1
686,2
687,1
688,1
689,1
690,3
691,3
692,1
693,1
694,6
695,4
696,1
697,1
698,0
699,2
700,1
701,1
702,0
703,1
704,9
705,3
706,0
707,3
708,0
709,3
710,0
711,0
712,2
713,2
714,9
715,10
716,20
717,4
718,17
719,8
720,1
721,14
722,0
723,0
724,1
725,1
726,1
727,6
728,1
729,0
730,1
731,0
732,0
733,1
734,1
735,2
736,23
737,1
738,1
739,1
740,1
741,1
742,1
743,3
744,1
745,1
746,1
747,1
748,10
749,3
750,1
751,2
752,3
753,13
754,23
755,1
756,2
757,1
758,1
759,3
760,1
761,0
762,1
763,1
764,2
765,1
766,2
767,1
768,1
769,2
770,1
771,1
772,1
773,8
774,2
775,4
776,6
777,0
778,3
779,0
780,1
781,5
782,4
783,5
784,3
785,1
786,5
787,1
788,3
789,4
790,1
791,0
792,6
793,1
794,4
795,6
796,5
797,6
798,42
799,11
800,4
801,1
802,1
803,2
804,1
805,4
806,6
807,0
808,4
809,1
810,1
811,1
812,1
813,1
814,3
815,1
816,0
817,1
818,2
819,1
820,1
821,2
822,4
823,1
824,2
825,4
826,2
827,4
828,1
829,1
830,2
831,1
832,2
833,1
834,0
835,8
836,3
837,2
838,0
839,10
840,1
841,1
842,1
843,1
844,1
845,1
846,2
847,6
848,0
849,2
850,6
851,1
852,0
853,1
854,3
855,2
856,1
857,2
858,1
859,1
860,1
861,14
862,1
863,1
864,1
865,1
866,1
867,1
868,5
869,1
870,42
871,2
872,1
873,1
874,1
875,1
876,2
877,2
878,1
879,1
880,1
881,1
882,1
883,1
884,64
885,1
886,0
887,0
888,2
889,2
890,13
891,1
892,1
893,1
894,6
895,0
896,5
897,2
898,7
899,23
900,5
901,58
902,9
903,2
904,6
905,30
906,13
907,36
908,1
909,8
910,1
911,2
912,1
913,1
914,1
915,1
916,1
917,6
918,1
919,1
920,6
921,2
922,6
923,1
924,2
925,3
926,6
927,2
928,6
929,1
930,1
931,1
932,2
933,2
934,1
935,6
936,18
937,18
938,7
939,0
940,3
941,9
942,0
943,8
944,8
945,10
946,27
947,0
948,5
949,21
950,3
951,43
952,3
953,5
954,2
955,12
956,0
957,1
958,13
959,7
960,7
961,3
962,8
963,12
964,10
965,1
966,1
967,5
968,109
969,3
970,1
971,1
972,3
973,10
974,5
975,1
976,3
977,6
978,3
979,29
980,6
981,1
982,1
983,2
984,1
985,6
986,7
987,2
988,1
989,2
990,10
991,15
992,4
993,2
994,40
995,0
996,5
997,16
998,1
999,0
1000,16
1001,14
1002,2
1003,51
1004,3
1005,2
1006,5
1007,9
1008,2
1009,8
1010,1
1011,7
1012,2
1013,1
1014,3
1015,1
1016,1
1017,1
1018,1
1019,3
1020,4
1021,3
1022,6
1023,2
1024,2
1025,3
1026,3
1027,1
1028,6
1029,2
1030,2
1031,1
1032,9
1033,2
1034,3
1035,1
1036,1
1037,1
1038,38
1039,3
1040,16
1041,8
1042,2
1043,1
1044,1
1045,1
1046,2
1047,4
1048,3
1049,1
1050,0
1051,0
1052,0
1053,1
1054,1
1055,1
1056,0
1057,2
1058,12
1059,2
1060,5
1061,8
1062,3
1063,29
1064,3
1065,0
1066,1
1067,0
1068,0
1069,5
1070,6
1071,3
1072,12
1073,4
1074,2
1075,2
1076,5
1077,6
1078,11
1079,11
1080,4
1081,8
1082,4
1083,8
1084,16
1085,1
1086,13
1087,4
1088,15
1089,7
1090,5
1091,1
1092,1
1093,7
1094,1
1095,3
1096,2
1097,3
1098,6
1099,3
1100,10
1101,2
1102,5
1103,1
1104,0
1105,5
1106,1
1107,0
1108,2
1109,1
1110,1
1111,1
1112,3
1113,0
1114,6
1115,0
1116,14
1117,2
1118,62
1119,9
1120,1
1121,8
1122,10
1123,9
1124,3
1125,3
1126,3
1127,3
1128,1
1129,1
1130,2
1131,19
1132,4
1133,127
1134,1
1135,17
1136,7
1137,10
1138,11
1139,1
1140,78
1141,4
1142,1
1143,2
1144,7
1145,1
1146,1
1147,1
1148,10
1149,1
1150,1
1151,2
1152,1
1153,14
1154,5
1155,1
1156,10
1157,1
1158,3
1159,11
1160,1
1161,1
1162,2
1163,2
1164,1
1165,3
1166,4
1167,11
1168,2
1169,1
1170,6
1171,1
1172,1
1173,2
1174,1
1175,1
1176,4
1177,1
1178,1
1179,0
1180,7
1181,1
1182,0
1183,7
1184,1
1185,4
1186,1
1187,7
1188,1
1189,5
1190,3
1191,1
1192,8
1193,1
1194,1
1195,14
1196,17
1197,1
1198,2
1199,4
1200,0
1201,4
1202,24
1203,3
1204,1
1205,29
1206,0
1207,3
1208,16
1209,30
1210,4
1211,3
1212,12
1213,1
1214,1
1215,9
1216,2
1217,3
1218,1
1219,1
1220,1
1221,15
1222,2
1223,1
1224,1
1225,4
1226,1
1227,2
1228,2
1229,0
1230,3
1231,2
1232,2
1233,1
1234,4
1235,1
1236,13
1237,10
1238,1
1239,12
1240,13
1241,2
1242,11
1243,4
1244,4
1245,1
1246,3
1247,2
1248,1
1249,1
1250,2
1251,15
1252,4
1253,1
1254,15
1255,1
1256,8
1257,3
1258,4
1259,1
1260,5
1261,7
1262,2
1263,1
1264,12
1265,14
1266,2
1267,1
1268,1
1269,3
1270,3
1271,11
1272,3
1273,3
1274,2
1275,1
1276,3
1277,6
1278,1
1279,1
1280,2
1281,10
1282,1
1283,2
1284,2
1285,1
1286,1
1287,1
1288,2
1289,8
1290,1
1291,1
1292,1
1293,11
1294,28
1295,4
1296,14
1297,15
1298,1
1299,1
1300,1
1301,6
1302,10
1303,6
1304,6
1305,9
1306,1
1307,1
1308,0
1309,1
1310,0
1311,23
1312,1
1313,5
1314,16
1315,11
1316,3
1317,7
1318,3
1319,57
1320,32
1321,11
1322,3
1323,56
1324,5
1325,28
1326,18
1327,6
1328,2
1329,4
1330,5
1331,2
1332,18
1333,7
1334,39
1335,3
1336,1
1337,10
1338,7
1339,2
1340,4
1341,1
1342,2
1343,1
1344,3
1345,0
1346,1
1347,0
1348,3
1349,0
1350,16
1351,5
1352,1
1353,1
1354,0
1355,1
1356,1
1357,7
1358,11
1359,1
1360,3
1361,3
1362,5
1363,3
1364,1
1365,1
1366,21
1367,1
1368,6
1369,1
1370,1
1371,2
1372,7
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,2
1382,3
1383,1
1384,2
1385,0
1386,6
1387,1
1388,0
1389,2
1390,1
1391,1
1392,6
1393,1
1394,0
1395,5
1396,1
1397,1
1398,1
1399,0
1400,0
1401,13
1402,5
1403,5
1404,3
1405,1
1406,1
1407,23
1408,5
1409,6
1410,8
1411,3
1412,4
1413,5
1414,11
1415,4
1416,0
1417,0
1418,1
1419,0
1420,1
1421,4
1422,3
1423,0
1424,1
1425,0
1426,0
1427,4
1428,1
1429,0
1430,1
1431,1
1432,3
1433,10
1434,7
1435,5
1436,1
1437,16
1438,19
1439,6
1440,12
1441,6
1442,3
1443,2
1444,0
1445,2
1446,0
1447,0
1448,3
1449,5
1450,6
1451,1
1452,6
1453,23
1454,2
1455,8
1456,7
1457,1
1458,2
1459,1
1460,0
1461,0
1462,0
1463,0
1464,1
1465,0
1466,9
1467,0
1468,0
1469,0
1470,4
1471,1
1472,0
1473,2
1474,0
1475,8
1476,0
1477,19
1478,20
1479,14
1480,1
1481,11
1482,4
1483,2
1484,27
1485,1
1486,2
1487,2
1488,3
1489,1
1490,1
1491,0
1492,1
1493,1
1494,3
1495,1
1496,1
1497,2
1498,1
1499,2
1500,1
1501,9
1502,1
1503,1
1504,9
1505,2
1506,1
1507,3
1508,1
1509,2
1510,1
1511,5
1512,11
1513,2
1514,0
1515,1
1516,1
1517,2
1518,20
1519,15
1520,26
1521,21
1522,11
1523,5
1524,23
1525,7
1526,11
1527,3
1528,5
1529,5
1530,10
1531,9
1532,5
1533,20
1534,10
1535,27
1536,1
1537,10
1538,18
1539,25
1540,10
1541,6
1542,1
1543,14
1544,1
1545,1
1546,0
1547,0
1548,0
1549,3
1550,1
1551,1
1552,1
1553,2
1554,9
1555,0
1556,1
1557,2
1558,2
1559,1
1560,0
1561,0
1562,3
1563,0
1564,2
1565,1
1566,1
1567,0
1568,1
1569,0
1570,5
1571,3
1572,1
1573,0
1574,0
1575,1
1576,2
1577,1
1578,1
1579,1
1580,2
1581,3
1582,1
1583,1
1584,1
1585,1
1586,1
1587,2
1588,4
1589,1
1590,1
1591,1
1592,0
1593,1
1594,3
1595,6
1596,0
1597,14
1598,76
1599,4
1600,2
1601,4
1602,0
1603,192
1604,0
1605,45
1606,4
1607,1
1608,2
1609,6
1610,7
1611,11
1612,2
1613,3
1614,2
1615,9
1616,4
1617,4
1618,1
1619,1
1620,1
1621,3
1622,4
1623,2
1624,1
1625,2
1626,1
1627,0
1628,1
1629,4
1630,1
1631,11
1632,1
1633,0
1634,4
1635,18
1636,14
1637,2
1638,1
1639,2
1640,6
1641,1
1642,1
1643,2
1644,2
1645,1
1646,1
1647,1
1648,3
1649,1
1650,2
1651,2
1652,0
1653,2
1654,1
1655,4
1656,1
1657,1
1658,2
1659,1
1660,0
1661,11
1662,0
1663,0
1664,5
1665,0
1666,6
1667,1
1668,1
1669,4
1670,1
1671,1
1672,1
1673,1
1674,8
1675,1
1676,1
1677,1
1678,3
1679,8
1680,1
1681,1
1682,1
1683,1
1684,2
1685,6
1686,4
1687,6
1688,18
1689,45
1690,8
1691,103
1692,1
1693,3
1694,21
1695,1
1696,0
1697,1
1698,6
1699,1
1700,1
1701,1
1702,2
1703,4
1704,1
1705,0
1706,7
1707,1
1708,2
1709,2
1710,1
1711,0
1712,0
1713,13
1714,3
1715,22
1716,1
1717,2
1718,1
1719,1
1720,2
1721,1
1722,5
1723,1
1724,1
1725,9
1726,1
1727,1
1728,2
1729,1
1730,1
1731,1
1732,1
1733,1
1734,0
1735,1
1736,6
1737,22
1738,12
1739,0
1740,1
1741,1
1742,1
1743,1
1744,7
1745,1
1746,1
1747,2
1748,1
1749,1
1750,1
1751,18
1752,5
1753,1
1754,2
1755,1
1756,1
1757,1
1758,1
1759,1
1760,0
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,3
1769,13
1770,2
1771,2
1772,0
1773,4
1774,5
1775,1
1776,1
1777,1
1778,1
1779,1
1780,8
1781,1
1782,2
1783,11
1784,5
1785,1
1786,1
1787,37
1788,1
1789,6
1790,2
1791,5
1792,1
1793,17
1794,1
1795,1
1796,4
1797,9
1798,2
1799,10
1800,2
1801,2
1802,1
1803,1
1804,1
1805,2
1806,12
1807,1
1808,0
1809,1
1810,1
1811,1
1812,0
1813,3
1814,0
1815,3
1816,2
1817,6
1818,2
1819,3
1820,1
1821,1
1822,9
1823,1
1824,3
1825,3
1826,1
1827,2
1828,5
1829,1
1830,2
1831,0
1832,12
1833,2
1834,1
1835,11
1836,0
1837,1
1838,2
1839,21
1840,1
1841,0
1842,2
1843,2
1844,8
1845,33
1846,1
1847,0
1848,24
1849,1
1850,7
1851,9
1852,1
1853,1
1854,5
1855,1
1856,1
1857,1
1858,1
1859,1
1860,7
1861,1
1862,1
1863,1
1864,1
1865,1
1866,0
1867,5
1868,15
1869,0
1870,2
1871,8
1872,3
1873,1
1874,5
1875,1
1876,16
1877,1
1878,1
1879,1
1880,10
1881,12
1882,18
1883,4
1884,24
1885,1
1886,2
1887,5
1888,1
1889,5
1890,1
1891,28
1892,12
1893,1
1894,1
1895,4
1896,1
1897,1
1898,1
1899,1
1900,3
1901,21
1902,5
1903,2
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,5
1912,5
1913,3
1914,8
1915,2
1916,7
1917,1
1918,1
1919,4
1920,4
1921,3
1922,1
1923,0
1924,2
1925,2
1926,3
1927,7
1928,1
1929,1
1930,0
1931,4
1932,9
1933,1
1934,6
1935,6
1936,19
1937,1
1938,2
1939,4
1940,13
1941,3
1942,2
1943,5
1944,12
1945,2
1946,2
1947,1
1948,11
1949,4
1950,10
1951,4
1952,4
1953,16
1954,4
1955,5
1956,1
1957,1
1958,4
1959,1
1960,17
1961,0
1962,2
1963,1
1964,0
1965,1
1966,2
1967,4
1968,7
1969,1
1970,3
1971,1
1972,1
1973,2
1974,7
1975,5
1976,15
1977,3
1978,3
1979,2
1980,1
1981,1
1982,1
1983,3
1984,4
1985,1
1986,1
1987,1
1988,6
1989,1
1990,24
1991,1
1992,25
1993,1
1994,1
1995,1
1996,3
1997,5
1998,6
1999,6
2000,0
2001,50
2002,7
2003,8
2004,2
2005,9
2006,1
2007,1
2008,1
2009,7
2010,1
2011,4
2012,4
2013,2
2014,21
2015,23
2016,2
2017,5
2018,5
2019,2
2020,0
2021,0
2022,1
2023,7
2024,7
2025,7
2026,61
2027,15
2028,2
2029,11
2030,8
2031,6
2032,6
2033,1
2034,27
2035,137
2036,3
2037,1
2038,1
2039,15
2040,1
2041,5
2042,11
2043,1
2044,6
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,6
2053,0
2054,2
2055,2
2056,0
2057,1
2058,1
2059,0
2060,3
2061,1
2062,1
2063,1
2064,4
2065,10
2066,2
2067,2
2068,1
2069,12
2070,1
2071,4
2072,5
2073,35
2074,1
2075,7
2076,2
2077,6
2078,1
2079,2
2080,6
2081,6
2082,1
2083,3
2084,2
2085,44
2086,3
2087,1
2088,33
2089,1
2090,2
2091,47
2092,0
2093,1
2094,1
2095,4
2096,0
2097,8
2098,10
2099,3
2100,3
2101,5
2102,0
2103,6
2104,5
2105,0
2106,1
2107,12
2108,5
2109,7
2110,5
2111,17
2112,1
2113,1
2114,29
2115,5
2116,2
2117,9
2118,0
2119,2
2120,28
2121,2
2122,38
2123,4
2124,4
2125,4
2126,6
2127,1
2128,2
2129,5
2130,9
2131,10
2132,1
2133,7
2134,1
2135,0
2136,0
2137,3
2138,2
2139,1
2140,1
2141,1
2142,11
2143,1
2144,3
2145,0
2146,0
2147,1
2148,3
2149,2
2150,0
2151,6
2152,0
2153,1
2154,8
2155,3
2156,1
2157,12
2158,7
2159,1
2160,1
2161,5
2162,2
2163,1
2164,8
2165,1
2166,0
2167,1
2168,3
2169,4
2170,14
2171,8
2172,1
2173,1
2174,1
2175,1
2176,2
2177,4
2178,1
2179,6
2180,1
2181,1
2182,1
2183,2
2184,4
2185,2
2186,1
2187,1
2188,3
2189,1
2190,1
2191,2
2192,1
2193,3
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,2
2202,2
2203,0
2204,1
2205,1
2206,1
2207,1
2208,1
2209,2
2210,0
2211,0
2212,0
2213,3
2214,2
2215,0
2216,1
2217,0
2218,6
2219,6
2220,1
2221,0
2222,1
2223,0
2224,1
2225,1
2226,1
2227,2
2228,1
2229,3
2230,1
2231,1
2232,1
2233,16
2234,0
2235,1
2236,1
2237,1
2238,4
2239,5
2240,1
2241,1
2242,5
2243,3
2244,7
2245,1
2246,2
2247,1
2248,2
2249,1
2250,1
2251,1
2252,2
2253,2
2254,5
2255,4
2256,59
2257,5
2258,10
2259,11
2260,51
2261,2
2262,3
2263,6
2264,5
2265,5
2266,2
2267,1
2268,11
2269,8
2270,1
2271,1
2272,0
2273,0
2274,1
2275,7
2276,3
2277,3
2278,8
2279,14
2280,1
2281,4
2282,1
2283,2
2284,4
2285,8
2286,10
2287,1
2288,2
2289,67
2290,4
2291,4
2292,2
2293,1
2294,1
2295,3
2296,1
2297,13
2298,2
2299,2
2300,4
2301,1
2302,18
2303,1
2304,2
2305,1
2306,2
2307,4
2308,11
2309,1
2310,1
2311,2
2312,1
2313,2
2314,17
2315,3
2316,2
2317,1
2318,4
2319,3
2320,0
2321,10
2322,6
2323,9
2324,0
