,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,1.0
5,Coesão Referencial,adj_stem_ovl,1.0
6,Coesão Referencial,arg_ovl,0.4
7,Coesão Referencial,stem_ovl,0.4
8,Coesão referencial,adjacent_refs,1.0
9,Coesão referencial,anaphoric_refs,2.25
10,Complexidade Sintática,words_before_main_verb,0.6
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02
13,Conectivos,and_ratio,0.0
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.02
16,Conectivos,conn_ratio,0.02
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.02
20,Conectivos,logic_operators,0.0
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,4.35
25,Diversidade Lexical,ttr,0.78
26,Frequência de Palavras,cw_freq,252182.58824
27,Frequência de Palavras,min_cw_freq,135056.8
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.1
29,Informações Morfossintáticas de Palavras,adverbs,0.0
30,Informações Morfossintáticas de Palavras,content_words,0.68
31,Informações Morfossintáticas de Palavras,function_words,0.32
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.02
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04
34,Informações Morfossintáticas de Palavras,verbs,0.14
35,Informações Semânticas de Palavras,adjectives_ambiguity,3.4
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,1.5
38,Informações Semânticas de Palavras,nouns_ambiguity,2.72222
39,Informações Semânticas de Palavras,verbs_ambiguity,8.33333
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,5
42,Medidas Descritivas,sentences_per_paragraph,5.0
43,Medidas Descritivas,syllables_per_content_word,2.61765
44,Medidas Descritivas,words,50
45,Medidas Descritivas,words_per_sentence,10.0
46,Índices de leiturabilidade,flesch,55.949
